,date,time,origin,origin_name,origin_lon,origin_lat,destination,dest_name,dest_lon,dest_lat,total_count,key,driving,public,ratio,difference,popup
41,2/2/18,17:00:00,AM,ANG MO KIO,103.8421,1.38009,HG,HOUGANG,103.8898,1.36364,1061,AMHG,14,47,3.36,33,ang mo kio > hougang: 1061
63,2/2/18,17:00:00,AM,ANG MO KIO,103.8421,1.38009,SE,SENGKANG,103.8877,1.39127,802,AMSE,17,52,3.06,35,ang mo kio > sengkang: 802
745,2/2/18,17:00:00,BD,BEDOK,103.92841,1.32405,HG,HOUGANG,103.8898,1.36364,922,BDHG,18,49,2.72,31,bedok > hougang: 922
1168,2/2/18,17:00:00,BD,BEDOK,103.92841,1.32405,SE,SENGKANG,103.8877,1.39127,574,BDSE,22,59,2.68,37,bedok > sengkang: 574
1509,2/2/18,17:00:00,BK,BUKIT BATOK,103.75474,1.35565,JW,JURONG WEST,103.70487,1.3416,925,BKJW,21,71,3.38,50,bukit batok > jurong west: 925
2037,2/2/18,17:00:00,BL,BOON LAY,103.70223,1.3148,JE,JURONG EAST,103.73479,1.32044,836,BLJE,11,43,3.91,32,boon lay > jurong east: 836
2456,2/2/18,17:00:00,BM,BUKIT MERAH,103.82311,1.27548,AM,ANG MO KIO,103.8421,1.38009,609,BMAM,19,56,2.95,37,bukit merah > ang mo kio: 609
2598,2/2/18,17:00:00,BM,BUKIT MERAH,103.82311,1.27548,TM,TAMPINES,103.95422,1.34373,907,BMTM,20,62,3.1,42,bukit merah > tampines: 907
2634,2/2/18,17:00:00,BM,BUKIT MERAH,103.82311,1.27548,TP,TOA PAYOH,103.86106,1.33668,559,BMTP,16,59,3.69,43,bukit merah > toa payoh: 559
2651,2/2/18,17:00:00,BM,BUKIT MERAH,103.82311,1.27548,BK,BUKIT BATOK,103.75474,1.35565,626,BMBK,21,53,2.52,32,bukit merah > bukit batok: 626
2711,2/2/18,17:00:00,BM,BUKIT MERAH,103.82311,1.27548,HG,HOUGANG,103.8898,1.36364,736,BMHG,18,51,2.83,33,bukit merah > hougang: 736
2813,2/2/18,17:00:00,BM,BUKIT MERAH,103.82311,1.27548,SE,SENGKANG,103.8877,1.39127,814,BMSE,24,61,2.54,37,bukit merah > sengkang: 814
2830,2/2/18,17:00:00,BM,BUKIT MERAH,103.82311,1.27548,SG,SERANGOON,103.86782,1.3652,562,BMSG,14,67,4.79,53,bukit merah > serangoon: 562
2920,2/2/18,17:00:00,BM,BUKIT MERAH,103.82311,1.27548,PG,PUNGGOL,103.91004,1.40536,514,BMPG,22,68,3.09,46,bukit merah > punggol: 514
4682,2/2/18,17:00:00,CH,CHANGI,103.99782,1.35081,BD,BEDOK,103.92841,1.32405,1207,CHBD,12,46,3.83,34,changi > bedok: 1207
4745,2/2/18,17:00:00,CH,CHANGI,103.99782,1.35081,GL,GEYLANG,103.88953,1.3209,560,CHGL,21,63,3,42,changi > geylang: 560
4907,2/2/18,17:00:00,CH,CHANGI,103.99782,1.35081,TM,TAMPINES,103.95422,1.34373,1952,CHTM,6,38,6.33,32,changi > tampines: 1952
6596,2/2/18,17:00:00,DT,DOWNTOWN CORE,103.8543,1.28508,PG,PUNGGOL,103.91004,1.40536,744,DTPG,21,56,2.67,35,downtown core > punggol: 744
6697,2/2/18,17:00:00,DT,DOWNTOWN CORE,103.8543,1.28508,SG,SERANGOON,103.86782,1.3652,896,DTSG,16,50,3.13,34,downtown core > serangoon: 896
7316,2/2/18,17:00:00,GL,GEYLANG,103.88953,1.3209,TP,TOA PAYOH,103.86106,1.33668,1076,GLTP,12,48,4,36,geylang > toa payoh: 1076
7893,2/2/18,17:00:00,HG,HOUGANG,103.8898,1.36364,BD,BEDOK,103.92841,1.32405,790,HGBD,19,52,2.74,33,hougang > bedok: 790
7941,2/2/18,17:00:00,HG,HOUGANG,103.8898,1.36364,PL,PAYA LEBAR,103.91477,1.35939,555,HGPL,11,54,4.91,43,hougang > paya lebar: 555
8012,2/2/18,17:00:00,HG,HOUGANG,103.8898,1.36364,AM,ANG MO KIO,103.8421,1.38009,695,HGAM,15,49,3.27,34,hougang > ang mo kio: 695
8114,2/2/18,17:00:00,HG,HOUGANG,103.8898,1.36364,TM,TAMPINES,103.95422,1.34373,620,HGTM,17,57,3.35,40,hougang > tampines: 620
9208,2/2/18,17:00:00,JW,JURONG WEST,103.70487,1.3416,BK,BUKIT BATOK,103.75474,1.35565,963,JWBK,17,57,3.35,40,jurong west > bukit batok: 963
9324,2/2/18,17:00:00,JW,JURONG WEST,103.70487,1.3416,PN,PIONEER,103.67299,1.31259,516,JWPN,21,54,2.57,33,jurong west > pioneer: 516
9367,2/2/18,17:00:00,JW,JURONG WEST,103.70487,1.3416,QT,QUEENSTOWN,103.78434,1.28916,514,JWQT,16,48,3,32,jurong west > queenstown: 514
9536,2/2/18,17:00:00,JW,JURONG WEST,103.70487,1.3416,WD,WOODLANDS,103.78771,1.44068,554,JWWD,21,57,2.71,36,jurong west > woodlands: 554
9881,2/2/18,17:00:00,KL,KALLANG,103.86643,1.31033,AM,ANG MO KIO,103.8421,1.38009,529,KLAM,17,55,3.24,38,kallang > ang mo kio: 529
10140,2/2/18,17:00:00,KL,KALLANG,103.86643,1.31033,TP,TOA PAYOH,103.86106,1.33668,783,KLTP,10,43,4.3,33,kallang > toa payoh: 783
10216,2/2/18,17:00:00,KL,KALLANG,103.86643,1.31033,WD,WOODLANDS,103.78771,1.44068,528,KLWD,25,66,2.64,41,kallang > woodlands: 528
14025,2/2/18,17:00:00,PL,PAYA LEBAR,103.91477,1.35939,HG,HOUGANG,103.8898,1.36364,840,PLHG,9,53,5.89,44,paya lebar > hougang: 840
14048,2/2/18,17:00:00,PL,PAYA LEBAR,103.91477,1.35939,TM,TAMPINES,103.95422,1.34373,536,PLTM,15,62,4.13,47,paya lebar > tampines: 536
14250,2/2/18,17:00:00,PN,PIONEER,103.67299,1.31259,TS,TUAS,103.63072,1.28389,891,PNTS,29,99,3.41,70,pioneer > tuas: 891
14407,2/2/18,17:00:00,PN,PIONEER,103.67299,1.31259,WD,WOODLANDS,103.78771,1.44068,501,PNWD,25,67,2.68,42,pioneer > woodlands: 501
15123,2/2/18,17:00:00,QT,QUEENSTOWN,103.78434,1.28916,TN,TANGLIN,103.8175,1.30828,748,QTTN,12,44,3.67,32,queenstown > tanglin: 748
15183,2/2/18,17:00:00,QT,QUEENSTOWN,103.78434,1.28916,BD,BEDOK,103.92841,1.32405,1166,QTBD,23,58,2.52,35,queenstown > bedok: 1166
15237,2/2/18,17:00:00,QT,QUEENSTOWN,103.78434,1.28916,KL,KALLANG,103.86643,1.31033,806,QTKL,19,53,2.79,34,queenstown > kallang: 806
15255,2/2/18,17:00:00,QT,QUEENSTOWN,103.78434,1.28916,NV,NOVENA,103.83531,1.32699,525,QTNV,17,50,2.94,33,queenstown > novena: 525
15322,2/2/18,17:00:00,QT,QUEENSTOWN,103.78434,1.28916,TM,TAMPINES,103.95422,1.34373,864,QTTM,26,72,2.77,46,queenstown > tampines: 864
15405,2/2/18,17:00:00,QT,QUEENSTOWN,103.78434,1.28916,BP,BUKIT PANJANG,103.77304,1.36674,813,QTBP,18,50,2.78,32,queenstown > bukit panjang: 813
15439,2/2/18,17:00:00,QT,QUEENSTOWN,103.78434,1.28916,CK,CHOA CHU KANG,103.74719,1.38555,1033,QTCK,20,52,2.6,32,queenstown > choa chu kang: 1033
15634,2/2/18,17:00:00,QT,QUEENSTOWN,103.78434,1.28916,WD,WOODLANDS,103.78771,1.44068,998,QTWD,23,66,2.87,43,queenstown > woodlands: 998
19558,2/2/18,17:00:00,TM,TAMPINES,103.95422,1.34373,CH,CHANGI,103.99782,1.35081,743,TMCH,10,56,5.6,46,tampines > changi: 743
19604,2/2/18,17:00:00,TM,TAMPINES,103.95422,1.34373,HG,HOUGANG,103.8898,1.36364,790,TMHG,18,55,3.06,37,tampines > hougang: 790
19672,2/2/18,17:00:00,TM,TAMPINES,103.95422,1.34373,SE,SENGKANG,103.8877,1.39127,892,TMSE,20,62,3.1,42,tampines > sengkang: 892
19925,2/2/18,17:00:00,TM,TAMPINES,103.95422,1.34373,PG,PUNGGOL,103.91004,1.40536,734,TMPG,18,56,3.11,38,tampines > punggol: 734
20030,2/2/18,17:00:00,TM,TAMPINES,103.95422,1.34373,WD,WOODLANDS,103.78771,1.44068,520,TMWD,29,74,2.55,45,tampines > woodlands: 520
20740,2/2/18,17:00:00,TP,TOA PAYOH,103.86106,1.33668,GL,GEYLANG,103.88953,1.3209,797,TPGL,12,46,3.83,34,toa payoh > geylang: 797
20911,2/2/18,17:00:00,TP,TOA PAYOH,103.86106,1.33668,BD,BEDOK,103.92841,1.32405,583,TPBD,13,61,4.69,48,toa payoh > bedok: 583
21373,2/2/18,17:00:00,TS,TUAS,103.63072,1.28389,JW,JURONG WEST,103.70487,1.3416,3156,TSJW,22,66,3,44,tuas > jurong west: 3156
21395,2/2/18,17:00:00,TS,TUAS,103.63072,1.28389,PN,PIONEER,103.67299,1.31259,614,TSPN,30,95,3.17,65,tuas > pioneer: 614
21503,2/2/18,17:00:00,TS,TUAS,103.63072,1.28389,JE,JURONG EAST,103.73479,1.32044,1229,TSJE,25,69,2.76,44,tuas > jurong east: 1229
21547,2/2/18,17:00:00,TS,TUAS,103.63072,1.28389,WD,WOODLANDS,103.78771,1.44068,657,TSWD,32,98,3.06,66,tuas > woodlands: 657
21587,2/2/18,17:00:00,TS,TUAS,103.63072,1.28389,BK,BUKIT BATOK,103.75474,1.35565,664,TSBK,30,100,3.33,70,tuas > bukit batok: 664
21743,2/2/18,17:00:00,TS,TUAS,103.63072,1.28389,CK,CHOA CHU KANG,103.74719,1.38555,909,TSCK,27,86,3.19,59,tuas > choa chu kang: 909
21779,2/2/18,17:00:00,WC,WESTERN WATER CATCHMENT,103.68972,1.38214,CK,CHOA CHU KANG,103.74719,1.38555,744,WCCK,17,54,3.18,37,western water catchment > choa chu kang: 744
42,2/2/18,18:00:00,AM,ANG MO KIO,103.8421,1.38009,HG,HOUGANG,103.8898,1.36364,1227,AMHG,14,47,3.36,33,ang mo kio > hougang: 1227
64,2/2/18,18:00:00,AM,ANG MO KIO,103.8421,1.38009,SE,SENGKANG,103.8877,1.39127,1098,AMSE,17,52,3.06,35,ang mo kio > sengkang: 1098
698,2/2/18,18:00:00,BD,BEDOK,103.92841,1.32405,CH,CHANGI,103.99782,1.35081,564,BDCH,10,56,5.6,46,bedok > changi: 564
746,2/2/18,18:00:00,BD,BEDOK,103.92841,1.32405,HG,HOUGANG,103.8898,1.36364,926,BDHG,18,49,2.72,31,bedok > hougang: 926
1169,2/2/18,18:00:00,BD,BEDOK,103.92841,1.32405,SE,SENGKANG,103.8877,1.39127,568,BDSE,22,59,2.68,37,bedok > sengkang: 568
1510,2/2/18,18:00:00,BK,BUKIT BATOK,103.75474,1.35565,JW,JURONG WEST,103.70487,1.3416,906,BKJW,21,71,3.38,50,bukit batok > jurong west: 906
2038,2/2/18,18:00:00,BL,BOON LAY,103.70223,1.3148,JE,JURONG EAST,103.73479,1.32044,745,BLJE,11,43,3.91,32,boon lay > jurong east: 745
2457,2/2/18,18:00:00,BM,BUKIT MERAH,103.82311,1.27548,AM,ANG MO KIO,103.8421,1.38009,732,BMAM,19,56,2.95,37,bukit merah > ang mo kio: 732
2475,2/2/18,18:00:00,BM,BUKIT MERAH,103.82311,1.27548,BS,BISHAN,103.84042,1.35496,508,BMBS,15,50,3.33,35,bukit merah > bishan: 508
2599,2/2/18,18:00:00,BM,BUKIT MERAH,103.82311,1.27548,TM,TAMPINES,103.95422,1.34373,880,BMTM,20,62,3.1,42,bukit merah > tampines: 880
2635,2/2/18,18:00:00,BM,BUKIT MERAH,103.82311,1.27548,TP,TOA PAYOH,103.86106,1.33668,579,BMTP,16,59,3.69,43,bukit merah > toa payoh: 579
2652,2/2/18,18:00:00,BM,BUKIT MERAH,103.82311,1.27548,BK,BUKIT BATOK,103.75474,1.35565,653,BMBK,21,53,2.52,32,bukit merah > bukit batok: 653
2712,2/2/18,18:00:00,BM,BUKIT MERAH,103.82311,1.27548,HG,HOUGANG,103.8898,1.36364,859,BMHG,18,51,2.83,33,bukit merah > hougang: 859
2814,2/2/18,18:00:00,BM,BUKIT MERAH,103.82311,1.27548,SE,SENGKANG,103.8877,1.39127,825,BMSE,24,61,2.54,37,bukit merah > sengkang: 825
2831,2/2/18,18:00:00,BM,BUKIT MERAH,103.82311,1.27548,SG,SERANGOON,103.86782,1.3652,567,BMSG,14,67,4.79,53,bukit merah > serangoon: 567
2921,2/2/18,18:00:00,BM,BUKIT MERAH,103.82311,1.27548,PG,PUNGGOL,103.91004,1.40536,570,BMPG,22,68,3.09,46,bukit merah > punggol: 570
4039,2/2/18,18:00:00,BT,BUKIT TIMAH,103.79069,1.32999,BP,BUKIT PANJANG,103.77304,1.36674,540,BTBP,15,46,3.07,31,bukit timah > bukit panjang: 540
4683,2/2/18,18:00:00,CH,CHANGI,103.99782,1.35081,BD,BEDOK,103.92841,1.32405,1295,CHBD,12,46,3.83,34,changi > bedok: 1295
4908,2/2/18,18:00:00,CH,CHANGI,103.99782,1.35081,TM,TAMPINES,103.95422,1.34373,1970,CHTM,6,38,6.33,32,changi > tampines: 1970
6597,2/2/18,18:00:00,DT,DOWNTOWN CORE,103.8543,1.28508,PG,PUNGGOL,103.91004,1.40536,1412,DTPG,21,56,2.67,35,downtown core > punggol: 1412
6698,2/2/18,18:00:00,DT,DOWNTOWN CORE,103.8543,1.28508,SG,SERANGOON,103.86782,1.3652,1744,DTSG,16,50,3.13,34,downtown core > serangoon: 1744
7317,2/2/18,18:00:00,GL,GEYLANG,103.88953,1.3209,TP,TOA PAYOH,103.86106,1.33668,1211,GLTP,12,48,4,36,geylang > toa payoh: 1211
7894,2/2/18,18:00:00,HG,HOUGANG,103.8898,1.36364,BD,BEDOK,103.92841,1.32405,921,HGBD,19,52,2.74,33,hougang > bedok: 921
7942,2/2/18,18:00:00,HG,HOUGANG,103.8898,1.36364,PL,PAYA LEBAR,103.91477,1.35939,504,HGPL,11,54,4.91,43,hougang > paya lebar: 504
8013,2/2/18,18:00:00,HG,HOUGANG,103.8898,1.36364,AM,ANG MO KIO,103.8421,1.38009,842,HGAM,15,49,3.27,34,hougang > ang mo kio: 842
8115,2/2/18,18:00:00,HG,HOUGANG,103.8898,1.36364,TM,TAMPINES,103.95422,1.34373,699,HGTM,17,57,3.35,40,hougang > tampines: 699
9209,2/2/18,18:00:00,JW,JURONG WEST,103.70487,1.3416,BK,BUKIT BATOK,103.75474,1.35565,911,JWBK,17,57,3.35,40,jurong west > bukit batok: 911
9347,2/2/18,18:00:00,JW,JURONG WEST,103.70487,1.3416,TS,TUAS,103.63072,1.28389,574,JWTS,20,60,3,40,jurong west > tuas: 574
9537,2/2/18,18:00:00,JW,JURONG WEST,103.70487,1.3416,WD,WOODLANDS,103.78771,1.44068,613,JWWD,21,57,2.71,36,jurong west > woodlands: 613
9882,2/2/18,18:00:00,KL,KALLANG,103.86643,1.31033,AM,ANG MO KIO,103.8421,1.38009,560,KLAM,17,55,3.24,38,kallang > ang mo kio: 560
10141,2/2/18,18:00:00,KL,KALLANG,103.86643,1.31033,TP,TOA PAYOH,103.86106,1.33668,864,KLTP,10,43,4.3,33,kallang > toa payoh: 864
10217,2/2/18,18:00:00,KL,KALLANG,103.86643,1.31033,WD,WOODLANDS,103.78771,1.44068,572,KLWD,25,66,2.64,41,kallang > woodlands: 572
14026,2/2/18,18:00:00,PL,PAYA LEBAR,103.91477,1.35939,HG,HOUGANG,103.8898,1.36364,733,PLHG,9,53,5.89,44,paya lebar > hougang: 733
14049,2/2/18,18:00:00,PL,PAYA LEBAR,103.91477,1.35939,TM,TAMPINES,103.95422,1.34373,524,PLTM,15,62,4.13,47,paya lebar > tampines: 524
14251,2/2/18,18:00:00,PN,PIONEER,103.67299,1.31259,TS,TUAS,103.63072,1.28389,1095,PNTS,29,99,3.41,70,pioneer > tuas: 1095
14557,2/2/18,18:00:00,PR,PASIR RIS,103.9483,1.37862,CH,CHANGI,103.99782,1.35081,536,PRCH,6,50,8.33,44,pasir ris > changi: 536
15124,2/2/18,18:00:00,QT,QUEENSTOWN,103.78434,1.28916,TN,TANGLIN,103.8175,1.30828,803,QTTN,12,44,3.67,32,queenstown > tanglin: 803
15184,2/2/18,18:00:00,QT,QUEENSTOWN,103.78434,1.28916,BD,BEDOK,103.92841,1.32405,1191,QTBD,23,58,2.52,35,queenstown > bedok: 1191
15238,2/2/18,18:00:00,QT,QUEENSTOWN,103.78434,1.28916,KL,KALLANG,103.86643,1.31033,867,QTKL,19,53,2.79,34,queenstown > kallang: 867
15256,2/2/18,18:00:00,QT,QUEENSTOWN,103.78434,1.28916,NV,NOVENA,103.83531,1.32699,564,QTNV,17,50,2.94,33,queenstown > novena: 564
15323,2/2/18,18:00:00,QT,QUEENSTOWN,103.78434,1.28916,TM,TAMPINES,103.95422,1.34373,907,QTTM,26,72,2.77,46,queenstown > tampines: 907
15406,2/2/18,18:00:00,QT,QUEENSTOWN,103.78434,1.28916,BP,BUKIT PANJANG,103.77304,1.36674,906,QTBP,18,50,2.78,32,queenstown > bukit panjang: 906
15440,2/2/18,18:00:00,QT,QUEENSTOWN,103.78434,1.28916,CK,CHOA CHU KANG,103.74719,1.38555,1091,QTCK,20,52,2.6,32,queenstown > choa chu kang: 1091
15635,2/2/18,18:00:00,QT,QUEENSTOWN,103.78434,1.28916,WD,WOODLANDS,103.78771,1.44068,1107,QTWD,23,66,2.87,43,queenstown > woodlands: 1107
18006,2/2/18,18:00:00,SG,SERANGOON,103.86782,1.3652,YS,YISHUN,103.83756,1.41544,533,SGYS,18,52,2.89,34,serangoon > yishun: 533
18292,2/2/18,18:00:00,SG,SERANGOON,103.86782,1.3652,WD,WOODLANDS,103.78771,1.44068,522,SGWD,19,57,3,38,serangoon > woodlands: 522
19559,2/2/18,18:00:00,TM,TAMPINES,103.95422,1.34373,CH,CHANGI,103.99782,1.35081,926,TMCH,10,56,5.6,46,tampines > changi: 926
19605,2/2/18,18:00:00,TM,TAMPINES,103.95422,1.34373,HG,HOUGANG,103.8898,1.36364,972,TMHG,18,55,3.06,37,tampines > hougang: 972
19673,2/2/18,18:00:00,TM,TAMPINES,103.95422,1.34373,SE,SENGKANG,103.8877,1.39127,1077,TMSE,20,62,3.1,42,tampines > sengkang: 1077
19713,2/2/18,18:00:00,TM,TAMPINES,103.95422,1.34373,BM,BUKIT MERAH,103.82311,1.27548,510,TMBM,19,60,3.16,41,tampines > bukit merah: 510
19926,2/2/18,18:00:00,TM,TAMPINES,103.95422,1.34373,PG,PUNGGOL,103.91004,1.40536,879,TMPG,18,56,3.11,38,tampines > punggol: 879
19986,2/2/18,18:00:00,TM,TAMPINES,103.95422,1.34373,SG,SERANGOON,103.86782,1.3652,547,TMSG,16,53,3.31,37,tampines > serangoon: 547
20031,2/2/18,18:00:00,TM,TAMPINES,103.95422,1.34373,WD,WOODLANDS,103.78771,1.44068,586,TMWD,29,74,2.55,45,tampines > woodlands: 586
20741,2/2/18,18:00:00,TP,TOA PAYOH,103.86106,1.33668,GL,GEYLANG,103.88953,1.3209,957,TPGL,12,46,3.83,34,toa payoh > geylang: 957
20912,2/2/18,18:00:00,TP,TOA PAYOH,103.86106,1.33668,BD,BEDOK,103.92841,1.32405,706,TPBD,13,61,4.69,48,toa payoh > bedok: 706
21052,2/2/18,18:00:00,TP,TOA PAYOH,103.86106,1.33668,TM,TAMPINES,103.95422,1.34373,609,TPTM,16,67,4.19,51,toa payoh > tampines: 609
21374,2/2/18,18:00:00,TS,TUAS,103.63072,1.28389,JW,JURONG WEST,103.70487,1.3416,2296,TSJW,22,66,3,44,tuas > jurong west: 2296
21504,2/2/18,18:00:00,TS,TUAS,103.63072,1.28389,JE,JURONG EAST,103.73479,1.32044,1320,TSJE,25,69,2.76,44,tuas > jurong east: 1320
21780,2/2/18,18:00:00,WC,WESTERN WATER CATCHMENT,103.68972,1.38214,CK,CHOA CHU KANG,103.74719,1.38555,533,WCCK,17,54,3.18,37,western water catchment > choa chu kang: 533
43,2/2/18,19:00:00,AM,ANG MO KIO,103.8421,1.38009,HG,HOUGANG,103.8898,1.36364,806,AMHG,14,47,3.36,33,ang mo kio > hougang: 806
65,2/2/18,19:00:00,AM,ANG MO KIO,103.8421,1.38009,SE,SENGKANG,103.8877,1.39127,678,AMSE,17,52,3.06,35,ang mo kio > sengkang: 678
699,2/2/18,19:00:00,BD,BEDOK,103.92841,1.32405,CH,CHANGI,103.99782,1.35081,597,BDCH,10,56,5.6,46,bedok > changi: 597
747,2/2/18,19:00:00,BD,BEDOK,103.92841,1.32405,HG,HOUGANG,103.8898,1.36364,693,BDHG,18,49,2.72,31,bedok > hougang: 693
1511,2/2/18,19:00:00,BK,BUKIT BATOK,103.75474,1.35565,JW,JURONG WEST,103.70487,1.3416,718,BKJW,21,71,3.38,50,bukit batok > jurong west: 718
2600,2/2/18,19:00:00,BM,BUKIT MERAH,103.82311,1.27548,TM,TAMPINES,103.95422,1.34373,582,BMTM,20,62,3.1,42,bukit merah > tampines: 582
2713,2/2/18,19:00:00,BM,BUKIT MERAH,103.82311,1.27548,HG,HOUGANG,103.8898,1.36364,513,BMHG,18,51,2.83,33,bukit merah > hougang: 513
2815,2/2/18,19:00:00,BM,BUKIT MERAH,103.82311,1.27548,SE,SENGKANG,103.8877,1.39127,508,BMSE,24,61,2.54,37,bukit merah > sengkang: 508
4684,2/2/18,19:00:00,CH,CHANGI,103.99782,1.35081,BD,BEDOK,103.92841,1.32405,837,CHBD,12,46,3.83,34,changi > bedok: 837
4909,2/2/18,19:00:00,CH,CHANGI,103.99782,1.35081,TM,TAMPINES,103.95422,1.34373,1272,CHTM,6,38,6.33,32,changi > tampines: 1272
6598,2/2/18,19:00:00,DT,DOWNTOWN CORE,103.8543,1.28508,PG,PUNGGOL,103.91004,1.40536,786,DTPG,21,56,2.67,35,downtown core > punggol: 786
6699,2/2/18,19:00:00,DT,DOWNTOWN CORE,103.8543,1.28508,SG,SERANGOON,103.86782,1.3652,1121,DTSG,16,50,3.13,34,downtown core > serangoon: 1121
7318,2/2/18,19:00:00,GL,GEYLANG,103.88953,1.3209,TP,TOA PAYOH,103.86106,1.33668,765,GLTP,12,48,4,36,geylang > toa payoh: 765
7895,2/2/18,19:00:00,HG,HOUGANG,103.8898,1.36364,BD,BEDOK,103.92841,1.32405,595,HGBD,19,52,2.74,33,hougang > bedok: 595
7943,2/2/18,19:00:00,HG,HOUGANG,103.8898,1.36364,PL,PAYA LEBAR,103.91477,1.35939,610,HGPL,11,54,4.91,43,hougang > paya lebar: 610
8014,2/2/18,19:00:00,HG,HOUGANG,103.8898,1.36364,AM,ANG MO KIO,103.8421,1.38009,617,HGAM,15,49,3.27,34,hougang > ang mo kio: 617
9210,2/2/18,19:00:00,JW,JURONG WEST,103.70487,1.3416,BK,BUKIT BATOK,103.75474,1.35565,652,JWBK,17,57,3.35,40,jurong west > bukit batok: 652
10142,2/2/18,19:00:00,KL,KALLANG,103.86643,1.31033,TP,TOA PAYOH,103.86106,1.33668,655,KLTP,10,43,4.3,33,kallang > toa payoh: 655
14027,2/2/18,19:00:00,PL,PAYA LEBAR,103.91477,1.35939,HG,HOUGANG,103.8898,1.36364,552,PLHG,9,53,5.89,44,paya lebar > hougang: 552
14252,2/2/18,19:00:00,PN,PIONEER,103.67299,1.31259,TS,TUAS,103.63072,1.28389,1098,PNTS,29,99,3.41,70,pioneer > tuas: 1098
14558,2/2/18,19:00:00,PR,PASIR RIS,103.9483,1.37862,CH,CHANGI,103.99782,1.35081,543,PRCH,6,50,8.33,44,pasir ris > changi: 543
15125,2/2/18,19:00:00,QT,QUEENSTOWN,103.78434,1.28916,TN,TANGLIN,103.8175,1.30828,575,QTTN,12,44,3.67,32,queenstown > tanglin: 575
15185,2/2/18,19:00:00,QT,QUEENSTOWN,103.78434,1.28916,BD,BEDOK,103.92841,1.32405,695,QTBD,23,58,2.52,35,queenstown > bedok: 695
15441,2/2/18,19:00:00,QT,QUEENSTOWN,103.78434,1.28916,CK,CHOA CHU KANG,103.74719,1.38555,602,QTCK,20,52,2.6,32,queenstown > choa chu kang: 602
15636,2/2/18,19:00:00,QT,QUEENSTOWN,103.78434,1.28916,WD,WOODLANDS,103.78771,1.44068,671,QTWD,23,66,2.87,43,queenstown > woodlands: 671
18293,2/2/18,19:00:00,SG,SERANGOON,103.86782,1.3652,WD,WOODLANDS,103.78771,1.44068,618,SGWD,19,57,3,38,serangoon > woodlands: 618
19560,2/2/18,19:00:00,TM,TAMPINES,103.95422,1.34373,CH,CHANGI,103.99782,1.35081,790,TMCH,10,56,5.6,46,tampines > changi: 790
19606,2/2/18,19:00:00,TM,TAMPINES,103.95422,1.34373,HG,HOUGANG,103.8898,1.36364,547,TMHG,18,55,3.06,37,tampines > hougang: 547
19674,2/2/18,19:00:00,TM,TAMPINES,103.95422,1.34373,SE,SENGKANG,103.8877,1.39127,730,TMSE,20,62,3.1,42,tampines > sengkang: 730
19927,2/2/18,19:00:00,TM,TAMPINES,103.95422,1.34373,PG,PUNGGOL,103.91004,1.40536,628,TMPG,18,56,3.11,38,tampines > punggol: 628
20742,2/2/18,19:00:00,TP,TOA PAYOH,103.86106,1.33668,GL,GEYLANG,103.88953,1.3209,740,TPGL,12,46,3.83,34,toa payoh > geylang: 740
21375,2/2/18,19:00:00,TS,TUAS,103.63072,1.28389,JW,JURONG WEST,103.70487,1.3416,1507,TSJW,22,66,3,44,tuas > jurong west: 1507
21505,2/2/18,19:00:00,TS,TUAS,103.63072,1.28389,JE,JURONG EAST,103.73479,1.32044,937,TSJE,25,69,2.76,44,tuas > jurong east: 937
44,2/2/18,20:00:00,AM,ANG MO KIO,103.8421,1.38009,HG,HOUGANG,103.8898,1.36364,662,AMHG,14,47,3.36,33,ang mo kio > hougang: 662
66,2/2/18,20:00:00,AM,ANG MO KIO,103.8421,1.38009,SE,SENGKANG,103.8877,1.39127,554,AMSE,17,52,3.06,35,ang mo kio > sengkang: 554
748,2/2/18,20:00:00,BD,BEDOK,103.92841,1.32405,HG,HOUGANG,103.8898,1.36364,541,BDHG,18,49,2.72,31,bedok > hougang: 541
4685,2/2/18,20:00:00,CH,CHANGI,103.99782,1.35081,BD,BEDOK,103.92841,1.32405,621,CHBD,12,46,3.83,34,changi > bedok: 621
4910,2/2/18,20:00:00,CH,CHANGI,103.99782,1.35081,TM,TAMPINES,103.95422,1.34373,1073,CHTM,6,38,6.33,32,changi > tampines: 1073
6599,2/2/18,20:00:00,DT,DOWNTOWN CORE,103.8543,1.28508,PG,PUNGGOL,103.91004,1.40536,529,DTPG,21,56,2.67,35,downtown core > punggol: 529
6700,2/2/18,20:00:00,DT,DOWNTOWN CORE,103.8543,1.28508,SG,SERANGOON,103.86782,1.3652,666,DTSG,16,50,3.13,34,downtown core > serangoon: 666
7319,2/2/18,20:00:00,GL,GEYLANG,103.88953,1.3209,TP,TOA PAYOH,103.86106,1.33668,563,GLTP,12,48,4,36,geylang > toa payoh: 563
7944,2/2/18,20:00:00,HG,HOUGANG,103.8898,1.36364,PL,PAYA LEBAR,103.91477,1.35939,587,HGPL,11,54,4.91,43,hougang > paya lebar: 587
9211,2/2/18,20:00:00,JW,JURONG WEST,103.70487,1.3416,BK,BUKIT BATOK,103.75474,1.35565,504,JWBK,17,57,3.35,40,jurong west > bukit batok: 504
10143,2/2/18,20:00:00,KL,KALLANG,103.86643,1.31033,TP,TOA PAYOH,103.86106,1.33668,543,KLTP,10,43,4.3,33,kallang > toa payoh: 543
